Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
8 7 -5.1351047 0.0 -26.5214 5.28205 -15.6625 340.647 -2208.21 338.743 -2190.48 0.0 338.743 -2190.48 36.0225 -26.5214 -1842.236 -4.99009 -4.99009
9 0 -5.5369897 0.0 -30.8351 5.48939 -18.6546 340.647 -2208.21 338.995 -2193.44 0.0 338.995 -2193.44 43.1951 -30.8351 -1842.0848 -4.97089 -4.97089
9 1 -4.9444537 0.0 -23.0522 5.27245 -15.0195 340.647 -2208.21 338.873 -2192.3 0.0 338.873 -2192.3 34.6042 -23.0522 -1841.875 -5.26554 -5.26554
9 2 -4.840084 0.0 -21.0504 5.28983 -15.9544 340.647 -2208.21 338.875 -2194.6 0.0 338.875 -2194.6 35.8302 -21.0504 -1840.9453 -4.13896 -4.13896
9 3 -5.2577815 0.0 -29.584 5.47485 -17.9978 340.647 -2208.21 339.055 -2190.27 0.0 339.055 -2190.27 41.4917 -29.584 -1839.3074 -3.2254 -3.2254
9 4 -4.9508724 0.0 -23.3654 5.554 -16.3113 340.647 -2208.21 339.017 -2193.0 0.0 339.017 -2193.0 38.4721 -23.3654 -1838.8763 -2.91954 -2.91954
9 5 -4.94625 0.0 -23.3058 5.55211 -16.3118 340.647 -2208.21 339.017 -2193.02 0.0 339.017 -2193.02 38.4418 -23.3058 -1838.8671 -2.91486 -2.91486
9 6 -4.9680986 0.0 -25.0566 5.43899 -17.5499 340.647 -2208.21 338.924 -2191.94 0.0 338.924 -2191.94 40.0701 -25.0566 -1838.0024 -3.15113 -3.15113
10 0 -5.234088 0.0 -27.1163 5.33669 -15.4991 340.647 -2208.21 338.743 -2190.93 0.0 338.743 -2190.93 37.2706 -27.1163 -1842.0326 -3.8612 -3.8612
10 1 -5.234088 0.0 -27.1163 5.33669 -15.4991 340.647 -2208.21 338.743 -2190.93 0.0 338.743 -2190.93 37.2706 -27.1163 -1842.0326 -3.8612 -3.8612
10 2 -5.207945 0.0 -26.7264 5.33244 -15.4117 340.647 -2208.21 338.753 -2191.04 0.0 338.753 -2191.04 37.0993 -26.7264 -1841.9143 -3.82929 -3.82929
10 3 -5.207945 0.0 -26.7264 5.33244 -15.4117 340.647 -2208.21 338.753 -2191.04 0.0 338.753 -2191.04 37.0993 -26.7264 -1841.9143 -3.82929 -3.82929
10 4 -5.22763 0.0 -27.2334 5.34154 -15.6102 340.647 -2208.21 338.732 -2190.73 0.0 338.732 -2190.73 37.3676 -27.2334 -1841.8638 -3.82161 -3.82161
